Section_2020,public_dataset,research_dataset,Variable_2020,Labels_2020_old,Question_2020,Labels_2020,Response_Type_2020,Response_Options_2020,Constructed_2020,Var_Description_2020,Var_Description_2020_old,Version_Note,baseline2016,Fall_2017_Spring_2018,Fall_2018_Spring_2019,Fall_2019_Spring_2020
B: Housing & Neighborhood,Keep,Keep,movenxt5fore,Reason for potential future move: Foreclosure,,Reason for potential future move: Foreclosure,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Foreclosure"" as a reason why they believe they will leave their neighborhood in the next 5 years. The response options are: Checked and Unchecked.",This variable indicates whether forclosure is a reason why a participant believes they will leave their neighborhood in the next 5 years.,,168,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movenxt5gentrif,Reason for potential future move: Gentrification,,Reason for potential future move: Gentrification,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Gentrification"" as a reason why they believe they will leave their neighborhood in the next 5 years. The response options are: Checked and Unchecked.",This variable indicates whether gentrification is a reason why a participant believes they will leave their neighborhood in the next 5 years.,,0,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movenxt5job,Reason for potential future move: Job or Employment Change,,Reason for potential future move: Job,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Job"" as a reason why they believe they will leave their neighborhood in the next 5 years. The response options are: Checked and Unchecked.",This variable indicates whether jobs and/or employment is a reason why a participant believes they will leave their neighborhood in the next 5 years.,,168,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movenxt5rel,Reason for potential future move: Relationship Change,,Reason for potential future move: Relationship Change,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Relationship change"" as a reason why they believe they will leave their neighborhood in the next 5 years. The response options are: Checked and Unchecked.",This variable indicates whether changes in relationships are a reason why a participant believes they will leave their neighborhood in the next 5 years.,,168,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movenxt5soc,Reason for potential future move: Be closer to social services,,Reason for potential future move: Social Services,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Social services"" as a reason why they believe they will leave their neighborhood in the next 5 years. The response options are: Checked and Unchecked.",This variable indicates whether access to social services is a reason why a participant believes they will leave their neighborhood in the next 5 years.,,168,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movenxt5store,Reason for potential future move: Be closer to amenities,,Reason for potential future move: Stores and Facilities,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Stores and facilities"" as a reason why they believe they will leave their neighborhood in the next 5 years. The response options are: Checked and Unchecked.",This variable indicates whether access to amenities is a reason why a participant believes they will leave their neighborhood in the next 5 years.,,168,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movenxt5fam,Reason for potential future move: Be closer to family,,Reason for potential future move: Closer to Family,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Wanted to be closer to family"" as a reason why they believe they will leave their neighborhood in the next 5 years. The response options are: Checked and Unchecked.",This variable indicates whether proximity to family is a reason why a participant believes they will leave their neighborhood in the next 5 years.,,168,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movenxt5health,Reason for potential future move: Health,,Reason for potential future move: Health,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Health reasons"" as a reason why they believe they will leave their neighborhood in the next 5 years. The response options are: Checked and Unchecked.",This variable indicates whether heath is a reason why a participant believes they will leave their neighborhood in the next 5 years.,,168,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movenxt5dis,Reason for potential future move: Natural Disaster,,Reason for potential future move: Natural Disaster,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Natural disaster"" as a reason why they believe they will leave their neighborhood in the next 5 years. The response options are: Checked and Unchecked.",This variable indicates whether natural disaster is a reason why a participant believes they will leave their neighborhood in the next 5 years.,,168,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movenxt5oth,Reason for potential future move: Other,,Reason for potential future move: Other,checkbox,"Checked, Unchecked",0,"This variable indicates whether respondents checked ""Other"" as a reason why they believe they will leave their neighborhood in the next 5 years. The response options are: Checked and Unchecked.",This variable indicates whether there is a reason not listed on the survey as to why a respondent believes they will leave their neighborhood in the next 5 years.,,168,877,1040,822
B: Housing & Neighborhood,Remove,Keep,movenxt5othtxt,,,,text,Other reason for potential move,0,,,,22,47,78,56
B: Housing & Neighborhood,Keep,Keep,neighmovemainreason,Main reason for potential future move,4d. What is the main reason why you want to leave?,Main reason for potential future move,radio,"1, Affordability | 2, Change of culture | 3, Commute | 4, Crime or drugs | 5, Education | 6, Environmental quality | 7, Ethnic/racial tension | 8, Eviction | 9, Family size | 10, Foreclosure | 11, Gentrification | 12, Job | 13, Relationship change | 14, Social services | 15, Stores & facilities | 16, To be closer to family | 17, Health Reasons | 18, Natural Disaster | 19, Other",0,"This variable indicates respondents' main reasons for wanting to leave their neighborhood. The possible response options are: Affordability, Change of culture, Commute, Crime or drugs, Education, Environmental quality, Ethnic/racial tension, Eviction, Family size, Foreclosure, Gentrification, Job, Relationship change, Social services, Stores & facilities, To be closer to family, Health Reasons, Natural Disaster, and Other.","This variable indicates the respondent's main reason for wanting to leave their neighborhood. The possible response options are: Affordability, Change of culture, Commute, Crime or drugs, Education, Environmental quality, Ethnic/racial tension, Eviction, Family size, Foreclosure, Gentrification, Job, Relationship change, Social services, Stores & facilities, To be closer to family, Health Reasons, Natural Disaster, and Other.",,0,0,70,45
B: Housing & Neighborhood,Remove,Keep,neighwillmoveother,,Other: What other reason is the main reason why you think you will move?,,text,Other main reason for potential move,0,,,,0,0,10,6
B: Housing & Neighborhood,Keep,Keep,neighbelong,Feels sense of belonging neighborhood,5a. I feel like I belong in my neighborhood.,Neighborhood: Sense of Belonging,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""I feel like I belong in my neighborhood."" The response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""I feel like I belong in my neighborhood."" The possible response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.",,366,849,1021,808
B: Housing & Neighborhood,Keep,Keep,neighproud,Proud to live in my neighborhood,5b. I am proud to live in my neighborhood. ,Neighborhood: Sense of Pride,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""I am proud to live in my neighborhood. "" The response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""I am proud to live in my neighborhood. "" The possible response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.",,367,847,1030,808
B: Housing & Neighborhood,Keep,Keep,neighcorner,"If a group of neighborhood children skipped school and were hanging around outside, the neighbors would do something about it","5j. If a group of neighborhood children skipped school and were hanging around outside, my neighbors would do something about it.",Neighborhood: Neighbors' reactions to Skipping School,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""If a group of neighborhood children skipped school and were hanging around outside, my neighbors would do something about it."" The response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""If a group of neighborhood children skipped school and were hanging around outside, my neighbors would do something about it."" The possible response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.",,367,840,1019,808
B: Housing & Neighborhood,Keep,Keep,neighkidgraf,"If people were spray painting negative words or images on a local building, the neighbors would do something about it.",5k. If people were spray painting negative words or images on a local building my neighbors would do something about it.,Neighborhood: Neighbors' reactions to Graffiti,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""If people were spray painting negative words or images on a local building my neighbors would do something about it."" The response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""If people were spray painting negative words or images on a local building my neighbors would do something about it."" The possible response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.",,367,843,1025,809
B: Housing & Neighborhood,Keep,Keep,neighfavors,People in the neighborhood do small favors for each other.,"5h. You and people in your neighborhood do favors for each other like watching each other's children, helping with shopping, lending garden or house tools, and other small things to help.",Neighborhood: Neighbors exchange Favors,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""You and people in your neighborhood do favors for each other like watching each other's children, helping with shopping, lending garden or house tools, and other small things to help."" The response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""You and people in your neighborhood do favors for each other like watching each other's children, helping with shopping, lending garden or house tools, and other small things to help."" The possible response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.",,371,847,1024,807
B: Housing & Neighborhood,Remove,Remove,neighwatch,,,,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,,,,370,0,0,0
B: Housing & Neighborhood,Keep,Keep,neighadvice,People in the neighborhood ask each other for advice about personal things such as parenting or getting a new job.,5i. You and other people in your neighborhood ask each other for advice about personal things such as parenting or getting a new job. ,Neighborhood: Neighbors exchange Advice,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""You and other people in your neighborhood ask each other for advice about personal things such as parenting or getting a new job."" The response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""You and other people in your neighborhood ask each other for advice about personal things such as parenting or getting a new job."" The possible response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.",,368,845,1026,808
B: Housing & Neighborhood,Keep,Keep,neighlearn,It is easy to learn about things that are changing in the neighborhood.,"5f. It is easy to learn about things that are changing in the neighborhood from neighbors, news, friends, family, or community events. ",Neighborhood: Easy to learn about Changes,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""It is easy to learn about things that are changing in the neighborhood from neighbors, news, friends, family, or community events."" The response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""It is easy to learn about things that are changing in the neighborhood from neighbors, news, friends, family, or community events."" The possible response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.",,369,851,1029,808
B: Housing & Neighborhood,Keep,Keep,neighcompare,Neighborhood is a good place to live compared to other neighborhoods in or near Boston.,"5p. Compared to other neighborhoods in or near Boston, I think my neighborhood is a good place to live. ",Neighborhood: Compared to Boston,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""Compared to other neighborhoods in or near Boston, I think my neighborhood is a good place to live."" The response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""Compared to other neighborhoods in or near Boston, I think my neighborhood is a good place to live."" The possible response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.",,367,844,1028,801
B: Housing & Neighborhood,Keep,Keep,neighbetter,A few years from now the neighborhood will be better than it is now.,5n. A few years from now my neighborhood will be better than it is now. ,Neighborhood: Future Outlook of Neighborhood,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""A few years from now my neighborhood will be better than it is now. "" The response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""A few years from now my neighborhood will be better than it is now. "" The possible response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.",,368,844,1023,805
B: Housing & Neighborhood,Keep,Keep,neighjob,Neighborhood has good job opportunities.,5c. My neighborhood has good job opportunities. ,Neighborhood: Job Opportunities,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""My neighborhood has good job opportunities."" The response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""My neighborhood has good job opportunities."" The possible response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.",,366,846,1023,806
B: Housing & Neighborhood,Keep,Keep,neighsocial,Neighborhood provides easy access to social services.,"5g. If I need help, I can easily access social services. ",Neighborhood: Access to Social Services,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""If I need help, I can easily access social services."" The response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""If I need help, I can easily access social services."" The possible response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.",,367,847,1025,803
B: Housing & Neighborhood,Keep,Keep,neighcivic,Neighborhood has good civic and public spaces.,"5d. My neighborhood has good civic and public spaces (e.g. parks, libraries, community centers, etc.)",Neighborhood: Civic and Public Spaces,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""My neighborhood has good civic and public spaces (e.g. parks, libraries, community centers, etc.)"" The response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""My neighborhood has good civic and public spaces (e.g. parks, libraries, community centers, etc.)"" The possible response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.",,364,845,1031,808
B: Housing & Neighborhood,Keep,Keep,neightravel,"Neighborhood allows me to travel where I need to go safely, comfortably, and easily.","5e. I live in a place that allows me to travel where I need to go (work, social, errands) safely, comfortably, and easily. ",Neighborhood: Ease of Travel,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""I live in a place that allows me to travel where I need to go (work, social, errands) safely, comfortably, and easily. "" The response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""I live in a place that allows me to travel where I need to go (work, social, errands) safely, comfortably, and easily. "" The possible response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.",,366,844,1029,808
B: Housing & Neighborhood,Keep,Keep,neighrespect,Newcomers act in a way that shows they respect the neighborhood.,5o. Newcomers act in a way that shows they respect my neighborhood. ,Neighborhood: Respect from Newcomers,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""Newcomers act in a way that shows they respect my neighborhood. "" The response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""Newcomers act in a way that shows they respect my neighborhood. "" The possible response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.",,363,835,1025,802
B: Housing & Neighborhood,Keep,Keep,neightbd,"If budget cuts threatened to close the local library, people in the neighborhood would rganize to try to keep it open.","5l. Suppose that because of budget cuts the the library closest to your home were going to be closed down by the city, people in my neighborhood would organize to try to keep it open.
",Neighborhood: Neighbors' reactions to Library Closing,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""Suppose that because of budget cuts the the library closest to your home were going to be closed down by the city, people in my neighborhood would organize to try to keep it open."" The response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""Suppose that because of budget cuts the the library closest to your home were going to be closed down by the city, people in my neighborhood would organize to try to keep it open."" The possible response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.",,0,843,1025,812
B: Housing & Neighborhood,Keep,Keep,neightbd1,"If there was a fight in front of my home and someone was being beaten up or threatened, my neighbors would try and do something about it.","5m. If there was a fight in front of your home and someone was being beaten up or threatened, your neighbors would try and do something about it.",Neighborhood: Neighbors' reactions to Fist Fight,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""If there was a fight in front of your home and someone was being beaten up or threatened, your neighbors would try and do something about it."" The response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""If there was a fight in front of your home and someone was being beaten up or threatened, your neighbors would try and do something about it."" The possible response options are: Strongly Disagree, Disagree, Agree, Strongly Agree, and Don't Know.",,0,843,1020,806
B: Housing & Neighborhood,Remove,Keep,neighcomparewhy,,"5q. In response to the previous question (5p), why did you select your answer?",,file,Reason respondent's neighborhood is better or worse than other neighborhoods in Boston area.,0,,,,0,512,735,38
B: Housing & Neighborhood,Remove,Keep,neighnotmove_other,,Other: What other reason has stopped you from moving?,,text,,0,,,Other,0,0,0,41
B: Housing & Neighborhood,Remove,Keep,whymove_recording,,Optional recording: Why did you move?,,file,,0,,,,0,0,0,0
B: Housing & Neighborhood,Remove,Keep,whymove_writein,,"Write-in section for optional voice recording. 
FOR DATA ENTRY USE ONLY -- SKIP DURING SURVEY. ",,notes,,0,,,,0,0,0,2
B: Housing & Neighborhood,Remove,Keep,neighcomparewhy_writein,,"Write-in section for voice recording in question 5q. 
FOR DATA ENTRY USE ONLY -- SKIP DURING SURVEY.",,notes,,0,,,,0,0,0,572
C: Health,Keep,Keep,happyqual,Happiness,"1. If you were to consider your life in general these days, how happy or unhappy would you say you are?",Happiness,radio,"1, Not at all happy | 2, Not very happy | 3, Somewhat happy | 4, Very happy | 5, Refuse to Answer",0,"This variable provides responses to the survey question: ""If you were to consider your life in general these days, how happy or unhappy would you say you are?"" The response options are: Not at all happy, Not very happy, Somewhat happy, and Very happy.","This variable provides responses to the survey question: ""If you were to consider your life in general these days, how happy or unhappy would you say you are?"" The possible response options are: Not at all happy, Not very happy, Somewhat happy, and Very happy.",,0,807,973,792
C: Health,Keep,Keep,healthqual,Self-Rated Health,"2a. In general, would you say your health is...",Self-Rated Health,radio,"1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor",0,"This variable provides responses to the survey question: ""In general would you say your health is excellent, very good, good, fair, or poor?"" The response options are: Excellent, Very Good, Good, Fair, and Poor.","This variable provides responses to the survey question: ""In general would you say your health is excellent, very good, good, fair, or poor?"" The response options are: Excellent, Very Good, Good, Fair, and Poor.",,360,832,1022,811
C: Health,Remove,Remove,revhealthqual,,,,,"Excellent, Very good, Good, Fair, Poor, NA",1,,,,267,595,750,811
C: Health,Keep,Keep,healthpeoplenear,"Physical Health: Of the people you spend the most time with, how many have a serious physical health, mental health, or substance abuse challenge?","2b. Of the people you spend the most time with, how many have a serious physical health, mental health, or substance abuse challenge?","Physical Health: Of the people you spend the most time with, how many have a serious physical health, mental health, or substance abuse challenge?",radio,"1, No one | 2, A few people | 3, Some people | 4, Most people | 5, Everyone",0,"This variable provides responses to the survey question: ""Of the people you spend the most time with how many have a serious physical health, mental health, or substance abuse challenge?"" The possible response options are: No one, A few people, Some people, Most people, and Everyone.","This variable provides resonses to the survey question ""Of the people you spend the most time with how many have a serious physical health, mental health, or substance abuse challenge?"" The possible response options are: No one, A few people, Some people, Most people, and Everyone.",,0,0,1020,805
C: Health,Remove,Remove,healthworse,,3.  I expect my health to get worse. ,,na,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know and (Neither Agree nor Disagree, 2016-2017 only)",NA,,,,358,761,1004,0
C: Health,Keep,Keep,healthexpectworse,Physical Health: I expect my health to get worse.,3.  I expect my health to get worse. ,Physical Health: I expect my health to get worse.,radio,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""I expect my health to get worse."" The response options are: Strongly Disagree, Disagree, Neither Agree or Disagree, Agree, Strongly Agree, and Don't Know.","This variable provides indicates how much respondents agree or disagree with the statement ""I expect my health to get worse."" The possible response options are: Strongly Disagree, Disagree, Neither Agree or Disagree, Agree, Strongly Agree, and Don't Know.",,0,0,1004,804
C: Health,Remove,Remove,healthsick,,3a. I seem to get sick more easily than people around me.,,radio,"Strongly Disagree, Disagree, Neither agree nor disagree, Agree, Strongly Agree, Don't Know, NA",0,,,,356,706,0,0
C: Health,Remove,Remove,healthother,,3b. I am as healthy as other people around me.,,radio,"Strongly Disagree, Disagree, Neither agree nor disagree, Agree, Strongly Agree, Don't Know, NA",0,,,,359,707,0,0
C: Health,Remove,Remove,whysick,,3c. Why are you as healthy or less healthy than other people around you?,,radio,Reasons why respondent is more or less healthy than people around them,0,,,,0,474,0,0
C: Health,Keep,Keep,healthtime,Physical Health: Did you spend less time than you wanted to on work or other activities as a result of your physical health?,4a. Did you spend less time than you wanted to on work or other activities as a result of your physical health?,Physical Health: Did you spend less time than you wanted to on work or other activities as a result of your physical health?,radio,"1, Yes | 0, No",0,"This variable provides responses to the survey question: ""In the past month, did you spend less time than you wanted to on work or other activities as a result of your physical health?"" The response options are: Yes and No.","This variable provides responses to the survey question""In the past month, did you spend less time than you wanted to on work or other activities as a result of your physical health?"" The possible response options are: Yes and No.",,339,817,1006,810
C: Health,Keep,Keep,healthless,Physical Health: Did you accomplish less than you wanted to as a result of your physical health?,4b. Did you accomplish less than you wanted to as a result of your physical health?,Physical Health: Did you accomplish less than you wanted to as a result of your physical health?,radio,"1, Yes | 0, No",0,"This variable provides responses to the survey question: ""In the past month, did you accomplish less than you wanted to as a result of your physical health?"" The response options are: Yes and No.","This variable provides responses to the survey question ""In the past month, did you accomplish less than you wanted to as a result of your physical health?"" The possible response options are: Yes and No.",,352,806,1008,811
C: Health,Keep,Keep,healthnotwork,Physical Health: Did you skip work or do activities less carefully than usual as a result of your physical health?,4c. Did you skip work or do activities less carefully than usual as a result of your physical health?,Physical Health: Did you skip work or do activities less carefully than usual as a result of your physical health?,radio,"1, Yes | 0, No",0,"This variable provides responses to the survey question: ""In the past month, did you skip work or do activities less carefully than usual as a result of your physical health?"" The response options are: Yes and No.","This variable provides responses to the survey question ""In the past month, did you skip work or do activities less carefully than usual as a result of your physical health?"" The possible response options are: Yes and No.",,352,795,1004,807
C: Health,Keep,Keep,monthnerv,"Mental Health: In the past month, how often were you nervous or stressed?",,Mental Health: Frequency feeling Nervous or Stressed,radio,"1, None of the time | 2, A little of the time | 3, Some of the time | 4, Most of the time | 5, All of the time",0,"This variable provides responses to the survey question: ""In the past month, how often were you nervous or stressed?"" The response options are: None of the time, A little of the time, Some of the time, Most of the time, and All of the time.","This variable provides responses to the survey question: In the past month, ""how often were you nervous or stressed?"" The possible response options are: None of the time, A little of the time, Some of the time, Most of the time, and All of the time.",,352,822,1007,798
C: Health,Remove,Remove,reversemonthnerv,,,,radio,"1, None of the time | 2, A little of the time | 3, Some of the time | 4, Most of the time | 5, All of the time",1,,,,352,822,1007,798
C: Health,Keep,Keep,monthcalm,"Mental Health: In the past month, how often were you calm and peaceful?",,Mental Health: Frequency feeling Calm and Peaceful,radio,"1, None of the time | 2, A little of the time | 3, Some of the time | 4, Most of the time | 5, All of the time",0,"This variable provides responses to the survey question:"" In the past month, how often were you calm and peaceful?"" The response options are: None of the time, A little of the time, Some of the time, Most of the time, and All of the time.","This variable provides responses to the survey question: In the past month, ""how often were you calm and peaceful?"" The possible response options are: None of the time, A little of the time, Some of the time, Most of the time, and All of the time.",,350,822,1005,798
C: Health,Keep,Keep,monthrest,"Mental Health: In the past month, how often were you restless?",,Mental Health: Frequency feeling Restless,radio,"1, None of the time | 2, A little of the time | 3, Some of the time | 4, Most of the time | 5, All of the time",0,"This variable provides responses to the survey question: ""In the past month, how often were you restless?"" The response options are: None of the time, A little of the time, Some of the time, Most of the time, and All of the time.","This variable provides responses to the survey question: In the past month, ""how often were you restless?"" The possible response options are: None of the time, A little of the time, Some of the time, Most of the time, and All of the time.",,350,821,1005,790
C: Health,Remove,Remove,reversemonthrest,,,,radio,"1, None of the time | 2, A little of the time | 3, Some of the time | 4, Most of the time | 5, All of the time",1,,,,350,821,1005,790
C: Health,Keep,Keep,monthenerg,"Mental Health: In the past month, how often were you energetic?",,Mental Health: Frequency feeling Energetic,radio,"1, None of the time | 2, A little of the time | 3, Some of the time | 4, Most of the time | 5, All of the time",0,"This variable provides responses to the survey question: ""In the past month, how often were you energetic?"" The response options are: None of the time, A little of the time, Some of the time, Most of the time, and All of the time.","This variable provides responses to the survey question: In the past month, ""how often were you energetic?"" The possible response options are: None of the time, A little of the time, Some of the time, Most of the time, and All of the time.",,349,823,1009,795
C: Health,Keep,Keep,monthdown,"Mental Health: In the past month, how often were you downhearted?",,Mental Health: Frequency feeling Downhearted,radio,"1, None of the time | 2, A little of the time | 3, Some of the time | 4, Most of the time | 5, All of the time",0,"This variable provides responses to the survey question: ""In the past month, how often were you downhearted?"" The response options are: None of the time, A little of the time, Some of the time, Most of the time, and All of the time.","This variable provides responses to the survey question: In the past month, ""how often were you downhearted?"" The possible response options are: None of the time, A little of the time, Some of the time, Most of the time, and All of the time.",,347,815,1002,791
C: Health,Remove,Remove,reversemonthdown,,,,radio,"1, None of the time | 2, A little of the time | 3, Some of the time | 4, Most of the time | 5, All of the time",1,,,,347,815,1002,791
C: Health,Keep,Keep,mentalhealthscore,Mental Health Score,,Mental Health Score,numeric,Integer between 0 and 100,1,"This variable was created using responses to questions about whether a respondent felt nervous or stressed, calm and peaceful, restless, energetic, and downhearted. The response options to each of these questions are: None of the time (1 point), A little of the time (2 points), Some of the time (3 points), Most of the time (4 points), and All of the time (5 points). We take an average of the point values and multiply that result by 20 in order to get a mental health score between 0 and 100, with respondents with a 0 having a low mental health score and those with a 100 having a high mental health score.","This variable is constructed. It is a combination of the responses to questions about whether a respondent felt nervous or stressed, calm and peaceful, restless, energetic, and downhearted. The response options to each of these questions are: None of the time (1 point), A little of the time (2 points), Some of the time (3 points), Most of the time (4 points), and All of the time (5 points). We take an average of the point values and multiply that result by 20 in order to get a mental health score between 0 and 100, with respondents with a 0 having a low mental health score and those with a 100 having a high mental health score.",,337,801,984,773
C: Health,Keep,Keep,mindcutwork,Mental Health: Did you spend less time than you wanted to on work or other activities as a result of your state of mind?,6a. Did you spend less time than you wanted to on work or other activities as a result of your state of mind?,Mental Health: Did you spend less time than you wanted to on work or other activities as a result of your state of mind?,radio,"1, Yes | 0, No",0,"This variable provides response to the survey question: ""In the past month, did you spend less time than you wanted to on work or other activities as a result of your state of mind?"" The response options are: Yes and No.","This variable provides response to the survey question ""In the past month, did you spend less time than you wanted to on work or other activities as a result of your state of mind?"" The possible response options are: Yes and No.",,357,808,998,801
C: Health,Keep,Keep,mindaccom,Mental Health: Did you accomplish less than you wanted to as a result of your state of mind?,6b. Did you accomplish lessòthan you wanted to as a result of your state of mind?,Mental Health: Did you accomplish less than you wanted to as a result of your state of mind?,radio,"1, Yes | 0, No",0,"This variable provides response to the survey question: ""In the past month, did you accomplish less than you wanted to as a result of your state of mind?"" The response options are: Yes and No.","This variable provides response to the survey question ""In the past month, did you accomplish less than you wanted to as a result of your state of mind?"" The possible response options are: Yes and No.",,354,807,994,799
